epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,2.045697216426625,0.2422016931578944,0.14171743165579803,1.8710296324321203,0.2662599990560141,0.15799107045417518
2,1.8698524049684113,0.2989727958161375,0.18125447042425089,1.7423200905323029,0.3216001281593112,0.19868631879917323
3,1.7370093149297379,0.35000352526333467,0.21983900882279675,1.6078385710716248,0.399240373766848,0.26079134970703827
4,1.5823637120863971,0.4196349631558685,0.27556813108508177,1.561597696372441,0.4256907121411392,0.282875216166888
5,1.5288047266941445,0.4484413042465746,0.30056585500622085,1.5245276114770345,0.4222914260546012,0.2798283562795924
6,1.4821159014514849,0.46838134428802275,0.31817347339341795,1.404285722545215,0.44636118731328417,0.3014320392893361
7,1.41965314430349,0.48821950482350646,0.33620953865842346,1.4426819682121277,0.5058016394863704,0.3582717343399833
8,1.4083085251789467,0.49625183877687534,0.3435113158033803,1.5119587374585015,0.47351666706215056,0.32867938190299484
9,1.3646185500949037,0.5101985772563044,0.3571341251308873,1.3217283253158842,0.4779147645458579,0.33192109948556336
10,1.329769224279067,0.5260120710689352,0.37199190712067093,1.292989888361522,0.4789874955479588,0.3298324703105858
11,1.3116703458860808,0.5373618420856006,0.38276413243717977,1.3113610936062676,0.50456998656903,0.35285759823662893
12,1.2860559722956488,0.5424543893880769,0.38549490627753014,1.2708683333226614,0.4941174407548476,0.3475969159036681
13,1.2558772485630185,0.5503418647013034,0.3948393665669536,1.2470895562853133,0.5269124675542116,0.3780390177188175
14,1.2255409932604022,0.5646512929538023,0.40882820025431316,1.2892054851566042,0.5060755649049368,0.35871204354667235
15,1.2015643513670156,0.5713851814837537,0.4147038140419975,1.3170253506728582,0.53551251980306,0.3882431765109855
16,1.1946369688884884,0.5777205130815798,0.42144674954744166,1.2416263669729233,0.5410796510321754,0.3917890125885606
17,1.1624409164868148,0.5864319496035841,0.4307506586844906,1.4229673381362642,0.5048170786384436,0.3573868338052126
18,1.145780548453331,0.5942513034430256,0.4378138315975826,1.263404620545251,0.5400080470330783,0.39284774046016413
19,1.1127704481283824,0.6070013580259447,0.44949933692137256,1.1967402888195855,0.5388481526450227,0.39056431395143804
20,1.0811809574856477,0.6132591718336706,0.4576101490300105,1.257638401218823,0.5536029104386376,0.40365015991865516
21,1.0599966737569546,0.6253302870281771,0.46863615458794666,1.2236559689044952,0.548333464389933,0.39681913677070824
22,1.0715902081891602,0.6203786182253822,0.46574590213085504,1.1781233698129654,0.548732606161918,0.3947118009839739
23,1.0537397311014287,0.6322004082375298,0.4770022973947811,1.1651545145681925,0.5518005029963595,0.39888851224843946
24,1.019906113603536,0.6345957095348577,0.47982521778602855,1.2736764465059554,0.5404770255887082,0.3885743125740971
25,1.0102340345873553,0.6388235806688374,0.48426262224640915,1.2266219109296799,0.5532343488718782,0.4008476606437138
26,0.9773245531554315,0.6553382899173918,0.5017189464659667,1.1521760672330856,0.5558440077251622,0.4021381151064166
27,0.9849461533275305,0.6561790873497433,0.5029048592381764,1.1656066179275513,0.5666163998789021,0.41276185314304065
28,0.9416879310181328,0.6652254321557634,0.5131112295312479,1.2122893035411835,0.5492785039854906,0.3998905461911649
29,0.9224145705647329,0.6717037765820529,0.5207119129990757,1.2577809329543794,0.5777861107198711,0.4237357477582382
30,0.9272499988184256,0.6784331472846223,0.5280647766100718,1.214336912546839,0.5799471216380668,0.4322089114463828
